:START_ID(Entity),:END_ID(Entity),:TYPE,claim_id,predicate,refs:int[],status,evidence,level,species:string[],section,volume,synthesis:boolean,finding,finding_note,hypothesis,hypothesis_group,parameters
temporal-interference-stimulation-in-humans-1km915m,motor-cortex-basal-ganglia-and-hippocampus-with-1nw5lop,MODULATES,C0136,modulates,47,supported,human-interventional,clinical,human,v0-4-coupling-electromagnetic,v0,false,,,,,"{""search_date"":""to December 2024"",""records"":""48"",""completed_human_studies"":""20"",""ongoing_trials"":""28"",""participants"":""820"",""envelopes"":""mostly 20 Hz or gamma-range"",""tolerability"":""good"",""clinical_signals"":""small single-session reports of improved Parkinsonian tremor and bradykinesia""}"
orientation-neural-element-and-class-field-magni-0yn9h7y,a-well-formed-electromagnetic-coupling-edge-sinc-0i8vxnl,REQUIRED_FOR,C0137,required_for,33;34;35;36;40;44;48;49;56;57;58;61,inferred,inferred,biophysical,,v0-4-coupling-electromagnetic,v0,true,,,,,"{""orientation"":""the field component parallel to the somato-dendritic axis, because perpendicular fields do not polarise the soma"",""element_classes"":""myelinated axon versus soma, axon terminal at a gyral crown, large-diameter dorsal-root afferent, layer V versus layer II/III pyramidal cell"",""provenance"":""measured intracranially in humans, intracellularly in rats, or modelled"",""asymmetry"":""initiation and modulation have different thresholds and different state dependence""}"
a-coupling-edge-able-to-carry-rival-mechanisms-r-12dr7lu,representing-the-cortical-versus-peripheral-rout-1ajl3xl,REQUIRED_FOR,C0138,required_for,39;45;46;48;51;52;54;55;60,inferred,inferred,biophysical,,v0-4-coupling-electromagnetic,v0,true,,,,,
focused-ultrasound-momentum-transfer-1cnzj3l,acoustic-radiation-force-and-micron-scale-tissue-15kpou2,COUPLES_VIA,C0139,couples_via,66,supported,in-vitro,biophysical,salamander,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""measurement"":""displacement imaged directly in isolated retina during sonication""}"
ultrasound-in-the-presence-of-gas-bodies-08g0s7y,bubble-oscillation-rather-than-absorption-which-1kisv5k,COUPLES_VIA,C0140,couples_via,80,supported,animal-interventional,biophysical,rabbit,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,
near-field-acoustic-particle-displacement-at-the-16gtx44,tactile-thermal-and-painful-sensations-produced-0zfpcrx,ACTIVATES,C0141,activates,78,supported,human-interventional,clinical,human,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""n"":""25 participants"",""design"":""preregistered"",""rejected_alternative"":""acoustic radiation force""}"
skull-density-ratio-1h1wsjx,the-deliverable-acoustic-dose-in-mr-guided-focus-01kr2f9,GATES,C0142,gates,87,supported,human-observational,biophysical,human,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""clinical_use"":""skull density ratio became a patient-selection criterion""}"
low-intensity-ultrasound-0txpkq5,intramembrane-cavitation-of-the-lipid-bilayer-as-0iitjy7,COUPLES_VIA,C0143,couples_via,65,contested,computational,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p1,H-tus-mechanism,"{""chain"":""displacement currents through Hodgkin-Huxley-type conductances produce spiking"",""requirement"":""bilayer mechanics alone suffice, with no dedicated receptor"",""validation"":""reproduced previously published thresholds across pulsing regimes"",""status"":""a computational model, not a measurement""}"
duty-cycle-and-intensity-of-low-intensity-ultras-0lqeiow,excitation-against-suppression-as-predicted-by-t-1i4yozd,MODULATES,C0144,modulates,65,contested,computational,cellular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p1,H-tus-mechanism,
focused-ultrasound-at-10-mhz-and-0-3-4-9-w-cm2-0vki245,trek-1-trek-2-traak-and-nav1-5-currents-0o6lh6p,GATES,C0145,gates,67,contested,in-vitro,molecular,Xenopus,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,"{""preparation"":""Xenopus oocytes expressing candidate mechanosensitive channels"",""frequency"":""10 MHz"",""intensity"":""0.3-4.9 W/cm2"",""effect_size"":""reversible modulation up to about 23% on average"",""blockers"":""ranolazine for NaV1.5; barium for the two-pore-domain channels""}"
piezo1-in-motor-cortex-1hwlol2,ultrasound-evoked-calcium-responses-limb-movemen-0mx82c0,REQUIRED_FOR,C0146,required_for,68,contested,animal-interventional,molecular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,"{""manipulation"":""conditional Piezo1 knockout in motor cortex"",""preparations"":""ex vivo and in vivo"",""effect"":""sharply reduced responses""}"
piezo1-expression-level-0s34iif,regional-ultrasound-sensitivity-central-amygdala-1v0yigq,CORRELATES_WITH,C0147,correlates_with,68,contested,animal-interventional,circuit,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,
low-intensity-low-frequency-ultrasound-0lk8a9i,astrocytic-trpa1-channels-1haqgb4,GATES,C0148,gates,69,contested,animal-interventional,molecular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,"{""cell_type"":""astrocyte rather than neuron""}"
astrocytic-calcium-entry-through-trpa1-11bloah,glutamate-through-best1-channels-0bqqn43,RELEASES,C0149,releases,69,contested,animal-interventional,molecular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,
astrocyte-released-glutamate-0hxbjfj,nmda-receptors-on-neighbouring-neurons-producing-0ivoemq,ACTIVATES,C0150,activates,69,contested,animal-interventional,cellular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,
astrocytic-piezo1-deletion-0b7uvsi,ultrasound-evoked-central-amygdala-response-null-03ssxep,MODULATES,C0151,modulates,68;69,contested,animal-interventional,cellular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,"{""result"":""null for the astrocytic manipulation; in tension with the glial transduction account""}"
ultrasound-at-0-8-mhz-and-0-20-mpa-1s8zjey,cftr-mediated-outward-current-in-hek293t-cells-1usqvyl,GATES,C0152,gates,70,contested,in-vitro,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p3,H-tus-mechanism,"{""frequency"":""0.8 MHz"",""pressure"":""0.20 MPa"",""blocker"":""GlyH-101"",""note"":""the repertoire is not confined to cation channels""}"
acoustic-radiation-force-165de6q,retinal-ganglion-cells-with-responses-stronger-a-0up94oi,ACTIVATES,C0153,activates,66,contested,in-vitro,cellular,salamander,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p2,H-tus-mechanism,"{""preparation"":""ex vivo salamander retina"",""frequency_sweep"":""0.5 to 43 MHz"",""direction"":""stronger at higher frequencies, the opposite of cavitation-based predictions"",""exclusion"":""excludes cavitation in that preparation"",""model"":""a quantitative radiation-force model accounted for the responses""}"
standing-waves-set-by-transducer-to-array-distan-0a75dn6,the-effective-acoustic-stimulus-at-the-preparati-1hfqta3,CONFOUNDS,C0154,confounds,66,supported,in-vitro,biophysical,salamander,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""observation"":""transducer-to-array distance mattered strongly""}"
ultrasound-heating-of-rat-ventral-posterolateral-13vgsv2,tibial-nerve-somatosensory-evoked-potentials-1kzbe3a,INHIBITS,C0155,inhibits,71,contested,animal-interventional,circuit,rat,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-mechanism-p4,H-tus-mechanism,"{""scaled_with"":""spatial position and intensity"",""independent_of"":""duty cycle, peak pressure and modulation frequency"",""tracked"":""measured temperature change"",""histology"":""no damage"",""replication"":""heating delivered separately by an optical fibre reproduced the suppression""}"
auditory-pathway-activation-by-transcranial-ultr-0tps8y2,transcranial-ultrasound-stimulation-1cxxd04,CONFOUNDS,C0156,confounds,74,contested,animal-interventional,circuit,guinea pig,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-confound-p1,H-tus-confound,"{""observation"":""widespread cortical and subcortical activation"",""controls"":""abolished by transecting the auditory nerves or removing cochlear fluid"",""conclusion"":""the response ascended through the auditory system rather than arising at the focus""}"
auditory-pathway-activation-16uj2ok,the-cortical-activation-pattern-attributed-to-th-17z69is,CONFOUNDS,C0157,confounds,75,contested,animal-interventional,circuit,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-confound-p1,H-tus-confound,"{""method"":""wide-field calcium imaging"",""evidence"":""evoked pattern matched auditory pathway activation rather than the focus and resembled the response to audible sound"",""control"":""reduced by chemical deafening""}"
smoothed-ultrasound-pulse-envelope-1g6k2od,auditory-pathway-activation-while-leaving-the-mo-06222au,DECREASES,C0158,decreases,76,contested,animal-interventional,circuit,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-confound-p2,H-tus-confound,"{""comparison"":""rectangular pulses with sharp rising edges activated the auditory pathway"",""controls"":""normal-hearing and genetically deaf mice responded identically"",""locus"":""the culprit is the envelope""}"
peripheral-auditory-stimulation-by-transcranial-0d6fpmg,ultrasound-induced-motor-inhibition-indexed-by-t-0qavx59,CONFOUNDS,C0159,confounds,77,contested,human-interventional,clinical,human,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-tus-confound-p1,H-tus-confound,"{""experiments"":""four at three institutions, one preregistered"",""pulse_repetition"":""1000 Hz"",""manipulations"":""intensity, duration and auditory masking"",""replication"":""the reported motor inhibition itself replicated"",""implication"":""prior work using only flip-over sham must be reinterpreted""}"
a-study-identifying-the-ultrasound-transducer-in-0cfprlr,deciding-among-the-four-rival-accounts-of-low-in-072ij63,REQUIRED_FOR,C0160,required_for,65;66;67;68;71;77;79,inferred,inferred,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,"{""strongest_evidence_by_preparation"":""a model for intramembrane cavitation; heterologous expression and knockout for channels; ex vivo retina for radiation force; rat thalamus for heating"",""corpus_gap"":""no study in the corpus identifies the transducer in human tissue"",""precondition"":""until confound controls are standard, human parameter-outcome aggregation cannot settle it""}"
focused-ultrasound-with-an-injected-ultrasound-c-1b80nz9,blood-brain-barrier-permeability-at-the-targeted-1xd5u6s,INCREASES,C0161,increases,80,supported,animal-interventional,systemic,rabbit,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""n"":""18 rabbit brains, four to six locations each"",""temporal_peak_acoustic_power"":""0.2 to 11.5 W"",""lowest_powers"":""opened the barrier without damaging neurons"",""imaging"":""contrast-enhanced MR tracked the opening""}"
microbubble-oscillation-17nkkc2,the-vascular-endothelium-rather-than-the-neuron-0xv8zxg,LOCATED_IN,C0162,located_in,80,supported,animal-interventional,cellular,rabbit,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""consequence"":""the coupling target is the endothelium""}"
acoustic-pressure-above-50-of-the-measured-ultra-1m5ntrl,gross-tissue-damage-0rkfvcj,INCREASES,C0163,increases,81,supported,animal-interventional,cellular,rat,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""locations"":""86 across 27 rats"",""frequency"":""551.5 kHz"",""safe_scaling"":""50% of threshold opened the barrier with no detectable damage"",""detection"":""wideband hydrophone feedback""}"
mr-guided-focused-ultrasound-with-microbubbles-i-10bxp9g,safe-reversible-and-repeatable-blood-brain-barri-06kkjaz,INCREASES,C0164,increases,82,supported,human-interventional,clinical,human,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""phase"":""phase I"",""n"":""5 patients"",""safety"":""no serious clinical or radiographic adverse events at three months""}"
mr-guided-focused-ultrasound-blood-brain-barrier-132xvo4,amyloid-burden-on-florbetaben-pet-null-no-group-1fzsg6u,MODULATES,C0165,modulates,82,supported,human-interventional,clinical,human,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""result"":""null"",""endpoint_status"":""exploratory"",""timepoint"":""three months"",""reading"":""the barrier opens, and nothing measured changed""}"
pulsed-focused-ultrasound-with-systemic-microbub-0m0zk9f,damage-associated-molecular-patterns-and-a-paren-0c1m376,INCREASES,C0166,increases,83,contested,animal-interventional,molecular,rat,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-fus-bbb-inflammation-p1,H-fus-bbb-inflammation,"{""onset"":""immediate"",""duration"":""about 24 hours"",""comparison"":""profile compared to ischaemia or mild traumatic brain injury""}"
clinical-imaging-microbubble-dose-during-sonicat-17f81qi,nf-kb-pathway-gene-expression-null-no-significan-0d79sxp,MODULATES,C0167,modulates,84,contested,animal-interventional,molecular,rat,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-fus-bbb-inflammation-p2,H-fus-bbb-inflammation,"{""design"":""three sonication protocols at different microbubble doses"",""timepoints"":""6 hours and 4 days"",""result"":""null at clinical imaging doses""}"
high-microbubble-dose-during-sonication-1julm3r,nf-kb-pathway-with-oedema-neuronal-degeneration-1rkgq1y,ACTIVATES,C0168,activates,84,contested,animal-interventional,molecular,rat,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-fus-bbb-inflammation-p2,H-fus-bbb-inflammation,"{""position"":""inflammation is a function of microbubble dose and exposure, and can be engineered away""}"
independent-variation-of-microbubble-dose-and-ba-1cra4r9,deciding-whether-barrier-opening-is-itself-a-wou-0y28qxu,REQUIRED_FOR,C0169,required_for,83;84,inferred,inferred,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,
mri-guided-focused-ultrasound-thalamotomy-14o6ou0,gait-disturbance-and-paraesthesias-or-numbness-i-1q47zfu,INCREASES,C0170,increases,86,supported,human-interventional,clinical,human,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""gait_disturbance"":""36%"",""paraesthesias_or_numbness"":""38%""}"
acoustic-thermal-dose-1w0nveb,whether-acoustic-coupling-is-reversible-modulati-05679pv,GATES,C0171,gates,85;86,inferred,inferred,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,"{""note"":""dose, not modality, decides""}"
temperature-measurement-in-human-ultrasound-prot-0kr5mc4,deciding-between-the-thermal-and-the-mechanical-1c7mqdo,REQUIRED_FOR,C0172,required_for,71;79,inferred,inferred,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,"{""asymmetry"":""the thermal account rests on a parameter dissociation in rat; the mechanical account on a parameter association in humans that its own authors call labile"",""gap"":""neither side reports the other's key quantity""}"
670-nm-led-light-0dkdce9,cytochrome-c-oxidase-activity-blocked-by-potassi-1skfl0y,INCREASES,C0173,increases,88,supported,in-vitro,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""preparation"":""primary neuron cultures"",""cyanide"":""10-100 uM"",""restoration"":""partial"",""wavelength"":""670 nm""}"
670-nm-led-light-0dkdce9,neuronal-cell-death-under-potassium-cyanide-14di335,DECREASES,C0174,decreases,88,supported,in-vitro,cellular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""cell_death"":""from 83.6% to 43.5%"",""cyanide"":""300 uM"",""failure"":""protection failed at millimolar concentrations""}"
action-spectrum-of-photobiomodulation-efficacy-a-0rmngr3,absorption-spectrum-of-oxidised-cytochrome-c-oxi-1lee17g,CORRELATES_WITH,C0175,correlates_with,88,supported,in-vitro,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""effective"":""830 and 670 nm"",""ineffective"":""728 nm"",""role"":""identifies the photoacceptor""}"
nitric-oxide-donors-given-before-irradiation-0fhk78s,the-action-spectrum-for-light-induced-cell-attac-00jltyj,MODULATES,C0176,modulates,89,supported,in-vitro,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""cells"":""HeLa"",""wavelengths"":""600-860 nm"",""baseline"":""the attachment action spectrum matched the same photoacceptor"",""effect"":""nitric oxide donors shifted it""}"
the-cytochrome-c-oxidase-photoacceptor-mechanism-13b0v94,a-demonstrated-coupling-event-at-the-human-corti-1olzrhn,REQUIRED_FOR,C0177,required_for,22;88,inferred,inferred,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,"{""note"":""the volume's cleanest case of a mechanism established at the cell failing to establish a coupling event at the target""}"
channelrhodopsin-2-a-light-gated-cation-channel-1qzuzxx,millisecond-timescale-spiking-and-excitatory-and-08amblb,GATES,C0178,gates,90,supported,in-vitro,cellular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""delivery"":""lentivirus into cultured mammalian neurons"",""requirement"":""a single gene and no exogenous cofactor"",""specificity"":""comes from the expressed actuator; the physical stimulus only has to arrive""}"
misexpressed-mechanotransduction-subunit-trp-4-1xkzyrl,ultrasound-responsiveness-of-the-chosen-neurons-1ab3fmj,REQUIRED_FOR,C0179,required_for,72,supported,animal-interventional,cellular,C. elegans,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""baseline"":""wild-type C. elegans is insensitive to low-pressure ultrasound""}"
gas-filled-microbubbles-1l1c64w,transduction-of-low-pressure-ultrasound-in-c-ele-1s85lmm,REQUIRED_FOR,C0180,required_for,72,supported,animal-interventional,biophysical,C. elegans,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,
human-trpa1-expressed-unilaterally-in-mouse-laye-0rcbegw,ultrasound-evoked-c-fos-induction-and-contralate-0zmranl,REQUIRED_FOR,C0181,required_for,73,supported,animal-interventional,cellular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""role"":""hsTRPA1 served as the sensitising actuator in mammalian cells""}"
the-n-terminal-tip-region-cholesterol-interactio-017h5iq,ultrasound-gating-of-human-trpa1-1n71arg,REQUIRED_FOR,C0182,required_for,73,supported,in-vitro,subcellular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""lesson"":""even an installed channel's sensitivity belongs to its cellular context rather than to the pore""}"
an-installed-transducer-of-known-identity-kineti-1hzu7mv,attributing-a-negative-result-to-delivery-rather-0jzms4c,REQUIRED_FOR,C0183,required_for,65;66;71;72;73;90,inferred,inferred,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,"{""contrast"":""the inference the endogenous cases cannot make""}"
intrinsic-efficacy-and-agonist-selective-recepto-1tiajiv,predicting-a-functional-response-from-receptor-o-18ym4bw,REQUIRED_FOR,C0184,required_for,91,supported,consensus,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""vocabulary"":""affinity and occupancy, the operational model, the extended ternary complex model, allosteric and ligand-selective active-state mechanisms""}"
pregnane-steroids-1latc3y,gaba-a-receptor-function-by-a-direct-non-genomic-1fd4hfn,MODULATES,C0185,modulates,179,supported,in-vitro,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""note"":""a drive can be a change in a transfer function rather than an input""}"
pregnane-steroids-1latc3y,the-circulation-as-a-systemic-messenger-or-local-0q3up8x,DELIVERED_BY,C0186,delivered_by,179,supported,consensus,systemic,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""consequence"":""one molecule can be a systemic or a local drive""}"
intracellular-rather-than-cell-surface-5-ht2a-re-0oyuupw,psychedelic-induced-cortical-plasticity-1wk671u,REQUIRED_FOR,C0187,required_for,92,supported,animal-interventional,subcellular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""preparations"":""rodent and in vitro""}"
serotonin-which-is-membrane-impermeant-0bac3gd,psychedelic-type-cortical-plasticity-null-despit-190tquh,MODULATES,C0188,modulates,92,supported,in-vitro,subcellular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""result"":""null"",""explanation"":""it does not reach the intracellular receptor compartment""}"
5-ht2a-receptors-0ucpze3,apical-dendrites-of-layer-v-neocortical-pyramida-19kpa0n,LOCATED_IN,C0189,located_in,172,supported,consensus,subcellular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,
general-anaesthetics-13smwkz,sites-inside-ion-channels-and-within-the-plasma-0jbqm5f,BINDS,C0190,binds,184,supported,consensus,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,"{""parallel"":""the pharmacological parallel of membrane-level accounts of acoustic coupling""}"
designer-receptors-produced-by-directed-evolutio-0gt1cdr,clozapine-n-oxide-and-not-acetylcholine-1q09dh5,BINDS,C0191,binds,93,contested,in-vitro,molecular,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-dreadd-actuator-p1,H-dreadd-actuator,"{""design_premise"":""clozapine-N-oxide supposed inert""}"
a-gi-coupled-designer-receptor-expressed-in-hipp-1gz6i4q,neuronal-firing-by-hyperpolarisation-18t366a,INHIBITS,C0192,inhibits,93,supported,in-vitro,cellular,mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,,,
systemically-injected-clozapine-n-oxide-1tl90mo,designer-receptors-with-low-affinity-and-without-0q8dntp,BINDS,C0193,binds,29,contested,animal-interventional,molecular,rat;macaque,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-dreadd-actuator-p2,H-dreadd-actuator,"{""method"":""PET and pharmacology in rodent and rhesus macaque"",""result"":""negative for brain entry""}"
clozapine-converted-in-vivo-from-clozapine-n-oxi-1g82rwp,designer-receptors-in-the-brain-0pn0hln,BINDS,C0194,binds,29,contested,animal-interventional,molecular,rat;macaque,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-dreadd-actuator-p2,H-dreadd-actuator,"{""corroboration"":""subthreshold clozapine doses preferentially produced the designer-receptor behaviour"",""conclusion"":""the nominal ligand was not the acting one""}"
magneto-a-fusion-of-the-cation-channel-trpv4-to-17y26s6,neuronal-activity-and-behaviour-under-an-applied-0n5zwna,GATES,C0195,gates,95,contested,animal-interventional,cellular,zebrafish;mouse,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-magnetogenetics-p1,H-magnetogenetics,"{""read_outs"":""calcium imaging, brain-slice and in vivo electrophysiology, and behaviour""}"
paramagnetic-ferritin-1eaho3w,magnetic-gating-of-a-fused-ion-channel-which-the-1ix76f1,REQUIRED_FOR,C0196,required_for,94,contested,computational,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,false,,,H-magnetogenetics-p2,H-magnetogenetics,"{""shortfall"":""roughly five to ten orders of magnitude"",""implication"":""if the reported phenomena are real they must have another cause"",""exemption"":""magnetothermal nanoparticle heating is not subject to the objection"",""asymmetry"":""one side reports measured effects, the other a calculation that no version of the mechanism can produce them""}"
the-transducer-as-a-node-carrying-a-cell-type-a-06aq2tj,a-coupling-representation-in-which-cytochrome-c-0felbq5,REQUIRED_FOR,C0197,required_for,65;68;69;70;73;80;88;90;91,inferred,inferred,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,
receptor-compartment-as-an-attribute-of-the-coup-1e1g46t,distinguishing-the-effect-of-the-same-agonist-at-12qgnm8,REQUIRED_FOR,C0198,required_for,92,inferred,inferred,subcellular,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,
nominal-and-effective-stimulus-as-separable-node-1ecmjmt,representing-the-auditory-transient-beside-the-w-17ih59e,REQUIRED_FOR,C0199,required_for,22;29;74;77,inferred,inferred,biophysical,,v0-5-coupling-acoustic-optical-chemical,v0,true,,,,,"{""note"":""a graph storing only the operator's setting cannot represent these disputes""}"
brief-tetanic-stimulation-of-the-perforant-path-008b3dx,dentate-gyrus-population-epsp-amplitude-1rv7394,INCREASES,C0200,increases,96,supported,animal-interventional,cellular,rabbit,v0-6-cellular-responses,v0,false,,,,,"{""preparation"":""anaesthetized rabbit, in vivo, electrode on an identified fibre tract"",""induction"":""brief tetanic stimulation, seconds"",""readout"":""dentate field population EPSP amplitude and latency"",""effect"":""enlarged population EPSP, shortened latency"",""persistence"":""hours to days""}"
threshold-set-by-time-averaged-postsynaptic-acti-045unym,size-and-direction-of-a-synaptic-modification-1vya80x,MODULATES,C0201,modulates,97,supported,computational,cellular,n/a,v0-6-cellular-responses,v0,false,,,,,"{""form"":""mathematical learning rule, threshold slides with time-averaged activity; input patterns compete rather than converging fibres"",""supporting_evidence"":""simulations reproduced orientation tuning and ocular-dominance patterns from cats and monkeys reared normally and in altered visual environments"",""limit"":""the sliding threshold is a theoretical construct fitted to developmental data, not a quantity measured at a synapse""}"
earlier-synaptic-activity-metaplasticity-0y1z7m3,capacity-of-a-synapse-for-later-ltp-or-ltd-06rml8g,MODULATES,C0202,modulates,98,supported,consensus,cellular,n/a,v0-6-cellular-responses,v0,false,,,,,"{""definition"":""prior activity changes the capacity for later plasticity without necessarily changing present synaptic strength"",""proposed_substrate"":""changes in NMDA receptors could account for some instances, other mechanisms probably contribute"",""graph_note"":""a change in a threshold, not a change in a weight""}"
blockade-of-overall-network-activity-in-dissocia-12xdeil,quantal-mepsc-amplitude-across-all-synapses-1jo0bk1,INCREASES,C0203,increases,99,supported,in-vitro,cellular,rat,v0-6-cellular-responses,v0,false,,,,,"{""preparation"":""dissociated rat neocortical culture"",""activity_blockade"":""increased mEPSC amplitude at all synapses"",""gaba_a_blockade"":""raised firing, then firing returned toward baseline as amplitudes shrank"",""form"":""multiplicative, so relative weights preserved while firing rate stabilised"",""relation"":""separate mechanism from Hebbian plasticity""}"
species-and-delivery-gap-in-the-imported-plastic-158cl0g,ltp-like-plasticity-attributed-to-non-invasive-h-0w1d1pf,CONFOUNDS,C0204,confounds,96;97;98;99,inferred,inferred,cellular,n/a,v0-6-cellular-responses,v0,true,,,,,"{""preparations"":""in vivo rabbit hippocampus, a simulation fitted to visual development, a review-level abstraction, rat cortical culture"",""gap"":""none established in an intact awake human and none with a non-invasive drive""}"
paired-associative-stimulation-median-nerve-stim-1ghiqw9,motor-evoked-potential-amplitude-in-the-target-m-0uwmb8r,INCREASES,C0205,increases,100,supported,human-interventional,cellular,human,v0-6-cellular-responses,v0,false,,,,,"{""pairing"":""fixed interstimulus interval"",""population"":""healthy volunteers"",""onset"":""within 30 min"",""persistence"":""at least 30-60 min"",""specificity"":""restricted to the targeted representation"",""co_readout"":""silent periods increased"",""authors_reading"":""associative, LTP-like plasticity""}"
theta-burst-transcranial-magnetic-stimulation-1e5xgro,motor-cortical-excitability-after-stimulation-en-1swuk5h,MODULATES,C0206,modulates,38,supported,human-interventional,cellular,human,v0-6-cellular-responses,v0,false,,,,,"{""drive"":""bursts of high-frequency TMS pulses repeated at a theta rhythm over human motor cortex"",""exposure"":""20-190 s"",""direction"":""set by continuous versus intermittent pattern"",""comparison"":""earlier repetitive TMS protocols rarely outlasted about 30 minutes""}"
transcranial-direct-current-stimulation-of-motor-10pdgqk,motor-cortical-excitability-polarity-specific-af-067bqbe,MODULATES,C0207,modulates,101,supported,human-interventional,cellular,human,v0-6-cellular-responses,v0,false,,,,,"{""anodal"":""raises motor cortical excitability"",""cathodal"":""lowers motor cortical excitability"",""reading"":""the human after-effect is read as polarity-specific""}"
direct-current-applied-during-ltp-or-ltd-inducti-1ib4u3i,magnitude-of-the-resulting-synaptic-plasticity-1fzc83p,MODULATES,C0208,modulates,106,supported,in-vitro,cellular,rat,v0-6-cellular-responses,v0,false,,,,,"{""preparation"":""rat hippocampal slice"",""dependence"":""polarity and dendritic compartment"",""requirements"":""concurrent synaptic activity and NMDA receptors"",""authors_conclusion"":""direct current modulates plasticity rather than inducing it""}"
clinical-intermittent-theta-burst-protocol-itbs6-1i1ivfp,excitatory-synaptic-strength-with-dendritic-spin-0wf4cye,INCREASES,C0209,increases,114,supported,in-vitro,cellular,mouse,v0-6-cellular-responses,v0,false,,,,,"{""preparation"":""mouse organotypic slice culture"",""readout"":""LTP of excitatory synapses plus spine remodelling"",""persistence"":""24 h"",""network"":""overall network activity stayed stable""}"
